product_name,price,rating,rating_count,Key specifications  Robot type,Key specifications  Robot vacuum cleaner height i,Key specifications  Suction station height i,Key specifications  Battery life,Key specifications  Max. noise level,Key specifications  Robot vacuum cleaner features,Key specifications  Smart home ecosystem,Key specifications  Item number,General information  Manufacturer,General information  Category,General information  Manufacturer no.,General information  Release date,General information  Sales rank in Category Robot vacuum cleaners,General information  May include power adapter,Colour  Colour,Colour  Exact colour description,Robot vacuum cleaner properties  Robot type,Robot vacuum cleaner properties  Cleaning functions,Robot vacuum cleaner properties  Robot vacuum cleaner features,Robot vacuum cleaner properties  Max. Suction power i,Robot vacuum cleaner properties  Filter + Dust bag volume,Robot vacuum cleaner properties  Water tank capacity,Robot vacuum cleaner properties  Max. noise level,Robot vacuum cleaner properties  Suitable surfaces,Robot vacuum cleaner properties  Max. Height door sill,Robot vacuum cleaner properties  Filter type,Robot vacuum cleaner properties  Room area i,Smart home features  Smart Home,Smart home features  Smart home ecosystem,Smart home features  Communication standard,Origin  Country of origin i,Model  Model name,Model  Model number,Battery properties  Battery life,Battery properties  Charging time,Battery properties  Battery type,Battery properties  Capacity,Battery properties  Power capacity,Battery properties  Voltage,Power supplyi  Power consumption,Scope of delivery  Scope of delivery,Product dimensions  Robot vacuum cleaner height i,Product dimensions  Suction station height i,Product dimensions  Diameter,Product dimensions  Length,Product dimensions  Width,Product dimensions  Weight,Package dimensions  Length,Package dimensions  Width,Package dimensions  Height,Package dimensions  Weight,Key specifications  Documents,General information  External links,Ingredients and instructions for use  Ingredients,Sustainability  Manufacturer commitment i,Ingredients and instructions for use  Instructions for use,Key specifications  Device type,Key specifications  Power,Key specifications  Length,Key specifications  Width,Key specifications  Height,Key specifications  Colour,General information  Sales rank in Category Fun kitchen gadgets,Fun Kitchen features  Device type,Power supplyi  Power,Product dimensions  Height
Xiaomi E5,115,4.0,24,Vacuum mopping robot,7 cm,82.50 cm,110 min,65 dB,"Obstacle detector, Staircase safe","Amazon Alexa, Google Assistant",43091385,Xiaomi,Robot vacuum cleaners,BHR7969EU,22.2.2024,35 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Obstacle detector, Staircase safe",2000 Pa,0.40 l,0.40 l,65 dB,"Carpet, Hard floor",20 mm,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",,China,,BHR7969EU,110 min,,,2600 mAh,25 Wh,14.40 V,25 W,"Charging station, Cleaning brush x 1, Dust collector, Manual, Mop pad, Power supply, Robots, Side brush x 2, Water reservoir",7 cm,82.50 cm,30 cm,30 cm,30 cm,2.30 kg,42.10 cm,37.40 cm,13.10 cm,3.62 kg,,,,,,,,,,,,,,,
Kärcher RCV 5,378,4.7,27,Vacuum mopping robot,9.70 cm,9.70 cm,120 min,66 dB,"Laser navigation, Programmable room boundary",,25366746,Kärcher,Robot vacuum cleaners,1.269-640.0,11.5.2023,38 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Laser navigation, Programmable room boundary",5000 Pa,0.33 l,0.24 l,66 dB,"Carpet, Cork, Hard floor, Laminate, Linoleum, Parquet flooring, Stone, Tiles, Vinyl",20 mm,Dust filters,85 m²,Compatible,,,,,RCV 5,120 min,230 min,Li-ion,5200 mAh,,14.40 V,36 W,Charging station,9.70 cm,9.70 cm,35 cm,35 cm,35 cm,3.90 kg,46.10 cm,42.80 cm,15.10 cm,6.33 kg,,,,SBTi,,,,,,,,,,,
iRobot Roomba Combo j5+,399,4.3,31,Vacuum mopping robot,8.56 cm,38.50 cm,75 min,,"Carpet detection, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT",39130700,iRobot,Robot vacuum cleaners,J557840,19.12.2023,61 of 469,No,"Black, Grey","Black, Silver",Vacuum mopping robot,"Damp mopping, Vacuuming","Carpet detection, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.31 l,0.21 l,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT","Amazon Alexa, Apple Siri, Google Assistant",China,Roomba Combo i5+,Roomba Combo j5+,75 min,120 min,Li-ion,2210 mAh,,,,1 piece,8.56 cm,38.50 cm,33.90 cm,33.80 cm,33.90 cm,3.40 kg,38 cm,46 cm,38 cm,10.32 kg,,,Https://prod-help-content.care.irobotapi.com/files/guide/OGComboj5plus.pdf.,,,,,,,,,,,,
Dreame D9 Max Gen 2,169,5.0,3,Vacuum mopping robot,9.68 cm,13 cm,210 min,74 dB,Laser navigation,"Amazon Alexa, Apple Siri, Google Assistant",46399823,Dreame,Robot vacuum cleaners,RLD34GA,10.6.2024,55 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Laser navigation,6000 Pa,0.57 l,0.24 l,74 dB,Hard floor,22 mm,HEPA filter,270 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant","Amazon Alexa, Apple HomeKit, Google Assistant",China,,D9 Max Gen2,210 min,360 min,Li-ion,5200 mAh,75 Wh,14.40 V,75 W,"Charging station, Manual, Mop attachment, Power cable, Side brush, Vacuum cleaners, Water reservoir",9.68 cm,13 cm,35 cm,46 cm,35 cm,3.60 kg,44.60 cm,40 cm,14.50 cm,5.32 kg,,,,,,,,,,,,,,,
Dreame X40 Master,1082,4.0,7,Vacuum mopping robot,10.38 cm,28 cm,330 min,76 dB,"Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic mop pad separation, Automatic power adjustment, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable wiping pads, Obstacle detector, Programmable room boundary, Removable water tank, Self-cleaning mop pads","Amazon Alexa, Apple Siri, Google Assistant",47230808,Dreame,Robot vacuum cleaners,010204AA000406,15.7.2024,77 of 469,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Automatic detergent addition, Automatic dust emptying, Automatic mop pad separation, Automatic power adjustment, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Extendable wiping pads, Obstacle detector, Programmable room boundary, Removable water tank, Self-cleaning mop pads",12000 Pa,0.30 l,0.08 l,76 dB,"Carpet, Hard floor",22 mm,,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant","Amazon Alexa, Google Assistant",,,,330 min,270 min,Li-ion,6400 mAh,,14.40 V,1000 W,,10.38 cm,28 cm,35 cm,48.50 cm,42.60 cm,15.90 kg,67 cm,54 cm,54 cm,26.80 kg,,,,,,,,,,,,,,,
Ecovacs DEEBOT T30 OMNI,63905,4.7,10,Vacuum mopping robot,10.40 cm,40.90 cm,290 min,65 dB,"Base station, Programmable room boundary","Amazon Alexa, Google Assistant",42912218,Ecovacs,Robot vacuum cleaners,DDX11,21.5.2024,51 of 469,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Programmable room boundary",11000 Pa,0.30 l,0.06 l,65 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,Dust filters,200 m²,Compatible,"Amazon Alexa, Google Assistant","Amazon Alexa, Google Assistant",China,,DEEBOT T30 OMNI,290 min,270 min,Li-ion,5200 mAh,60 Wh,14.40 V,60 W,"1 pair, 1x Charging station, 1x robot, 1x side brush",10.40 cm,40.90 cm,,78 cm,45.70 cm,18.18 kg,76.50 cm,44.20 cm,46.20 cm,18.18 kg,,,,,,,,,,,,,,,
Xiaomi S20,157,4.1,12,Robot vacuum,9.80 cm,9.80 cm,120 min,60 dB,Base station,"Amazon Alexa, Google Assistant, Google Home",47387431,Xiaomi,Robot vacuum cleaners,BHR8628EU,24.7.2024,58 of 471,No,Black,Black,Robot vacuum,"Damp mopping, Vacuuming",Base station,5000 Pa,0.40 l,0.27 l,60 dB,Hard floor,,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant, Google Home",Amazon Alexa,China,,BHR8628EU,120 min,,,3200 mAh,,14.40 V,45 W,"1 x power supply, 1x 2-in-1 dust container with water tank, 1x charging station, 1x cleaning brush, 1x main brush, 1x main brush cover, 1x robot hoover, 1x side brush, 1x user manual, 1x wiping pad",9.80 cm,9.80 cm,32.50 cm,32.50 cm,32.50 cm,3.50 kg,46.50 cm,39.10 cm,15.40 cm,5.02 kg,,,,,,,,,,,,,,,
Mova P50 Pro Ultra,768,4.3,6,Vacuum mopping robot,10.38 cm,47 cm,200 min,74 dB,"Automatic dust emptying, Automatic power adjustment, Base station, Carpet detection, Independent emptying, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Google Assistant",53184232,Mova,Robot vacuum cleaners,8509809000,5.2.2025,85 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Automatic dust emptying, Automatic power adjustment, Base station, Carpet detection, Independent emptying, Programmable cleaning schedules, Programmable room boundary, Staircase safe",19000 Pa,3.20 l,0.08 l,74 dB,,20 mm,,,Compatible,"Amazon Alexa, Google Assistant",,China,,,200 min,210 min,Li-ion,5200000 mAh,,14.40 V,700 W,"Base station ramp extension x 1, Charging station and cleaning station, Cleaning agent x 1, Filter, Manual, Mop cloths x 2, Robots, Vacuum cleaner bag",10.38 cm,47 cm,35 cm,35 cm,35 cm,4 kg,59.80 cm,49 cm,54 cm,21.41 kg,,,,,,,,,,,,,,,
Dreame L10s Ultra,43920,4.6,229,Vacuum mopping robot,9.70 cm,97 cm,210 min,59 dB,"Base station, Camera function, Carpet detection, Configurable cleaning programmes, Obstacle detector, Programmable room boundary","Amazon Alexa, Apple Siri, Google Assistant",22605307,Dreame,Robot vacuum cleaners,RLS6LADC,4.12.2023,158 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Camera function, Carpet detection, Configurable cleaning programmes, Obstacle detector, Programmable room boundary",5300 Pa,3 l,2.50 l,59 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Tiles",20 mm,HEPA filter,200 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",Google Assistant,,,DreameBot L10s Ultra,210 min,360 min,Li-ion,5200 mAh,55 Wh,14.40 V,75 W,"Cleaning brush, Robots, Stromka, Vacuum cleaner bag",9.70 cm,97 cm,35 cm,35 cm,35 cm,3.70 kg,66 cm,50 cm,41 cm,17.45 kg,,,,,,,,,,,,,,,
Medion X20,227,4.0,23,Vacuum mopping robot,9.30 cm,,150 min,68 dB,,"Amazon Alexa, Apple Home",30358679,Medion,Robot vacuum cleaners,MD 11415,11.5.2023,45 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",,3000 Pa,0.25 l,,68 dB,"Carpet, Laminate, Parquet flooring, Tiles",,HEPA filter,,Compatible,"Amazon Alexa, Apple Home",Apple HomeKit,,,50076256,150 min,300 min,Li-ion,,,,,"1x hoover, 1x charger, 3x dust bag, 1x water tank, 2x replacement brush, 1x replacement filter, 1x suction station",9.30 cm,,32 cm,32 cm,32 cm,3 kg,45 cm,40.50 cm,36.50 cm,9.76 kg,,,,,,,,,,,,,,,
iRobot Roomba Combo 10 Max,826,4.3,15,Vacuum mopping robot,8.70 cm,44.60 cm,120 min,,"Area cleaning, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Independent emptying, Infrared sensor, Obstacle detector, Programmable room boundary, Removable water tank, Self-cleaning mop pads, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",47497717,iRobot,Robot vacuum cleaners,x085840,12.9.2024,40 of 469,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Area cleaning, Base station, Camera function, Carpet detection, Configurable cleaning programmes, Independent emptying, Infrared sensor, Obstacle detector, Programmable room boundary, Removable water tank, Self-cleaning mop pads, Staircase safe",,0.31 l,0.25 l,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",Amazon Alexa,,,Roomba Combo 10 max,120 min,,Li-ion,4200 mAh,,,,"1 additional corner and edge brush, 1 additional hoover bag, 1 additional microfibre cleaning cloth, 1 replacement high-performance filter, AutoWash Dock, Power cord",8.70 cm,44.60 cm,33.90 cm,33.90 cm,33.80 cm,5 kg,49.10 cm,44.30 cm,42.70 cm,18.05 kg,,,,,,,,,,,,,,,
Mova M1,158,4.3,12,Vacuum mopping robot,7.60 cm,,150 min,60 dB,,"Amazon Alexa, Apple Siri, Google Assistant",42600452,Mova,Robot vacuum cleaners,MOVAM1,30.1.2024,50 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",,4500 Pa,0.30 l,0.22 l,60 dB,"Carpet, Hard floor",,EPA filter,,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",,Germany,,RPM1GA,150 min,240 min,Li-ion,2600 mAh,40 Wh,14.40 V,40 W,"Battery charger, Charging station, Cleaning tool x 1, Manual, Robots, Side brush",7.60 cm,,32.50 cm,32.50 cm,32.50 cm,2.50 kg,43.30 cm,36.50 cm,12.50 cm,4.11 kg,,,,,,,,,,,,,,,
iRobot Roomba Combo i5,226,4.6,16,Vacuum mopping robot,16.50 cm,14.80 cm,60 min,,"Carpet detection, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",38718039,iRobot,Robot vacuum cleaners,I517840,20.9.2023,60 of 469,No,"Black, Grey","Black, Gray",Vacuum mopping robot,"Damp mopping, Vacuuming","Carpet detection, Programmable room boundary, Staircase safe",,0.39 l,0.21 l,,"Carpet, Laminate, Parquet flooring, Stone, Tiles",16 mm,High-performance filters,55 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple Siri, Google Assistant",China,Roomba Combo i5+,Roomba Combo i5,60 min,90 min,Li-ion,1850 mAh,,,,"1 additional filter, 1 drip tray, 1 dust collector, 1 Roomba® Combo container, 2 additional microfibre mop pad, Home Base Charging Station, Power cord, Roomba Combo i5",16.50 cm,14.80 cm,34 cm,34 cm,34.20 cm,3.20 kg,54.10 cm,43.30 cm,15 cm,5.65 kg,,,"Https://prod-help-content.care.irobotapi.com/files/guide/OGRoombaComboi5.pdf
https://prod-help-content.care.irobotapi.com/files/guide/QSGRoombaComboi5.pdf.",,,,,,,,,,,,
Roborock Q5 Pro+,34195,4.0,7,Vacuum mopping robot,9.65 cm,44.80 cm,240 min,67 dB,"Obstacle detector, Programmable cleaning schedules",Amazon Alexa,38864695,Roborock,Robot vacuum cleaners,R100039,11.6.2024,49 of 469,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Obstacle detector, Programmable cleaning schedules",5500 Pa,0.77 l,0.18 l,67 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,Dust filters,350 m²,Compatible,Amazon Alexa,"Amazon Alexa, Google Assistant",China,,Q5 Pro +,240 min,360 min,Li-ion,5200 mAh,,,59 W,"Charging station, Cleaning station, Manual, Power cable, Robots, Water reservoir, Wiping cloth",9.65 cm,44.80 cm,44.70 cm,44.70 cm,35.30 cm,7.50 kg,49 cm,38 cm,37 cm,11.64 kg,,,,,,,,,,,,,,,
Xiaomi MI Robot Vacuum S12,223,4.6,81,Vacuum mopping robot,9.40 cm,,130 min,75 dB,Programmable room boundary,"Amazon Alexa, Google Assistant",33027105,Xiaomi,Robot vacuum cleaners,BHR7328GL,22.5.2023,59 of 469,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Programmable room boundary,4000 Pa,0.30 l,0.30 l,75 dB,"Carpet, Laminate, Parquet flooring, Tiles",,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant","Amazon Alexa, Google Assistant",China,,BHR7328GL,130 min,210 min,,3200 mAh,45 Wh,14.80 V,45 W,"Charging station, Cleaning brush, Filter x 2, Main brush, Main brush guard, Manual, Mop frame x 1, Mop pad, Power supply, Robots, Side brush, Water and dust container",9.40 cm,,35 cm,35 cm,35 cm,4.80 kg,53.10 cm,42 cm,13.90 cm,6.24 kg,,,,,,,,,,,,,,,
Roborock Q8 Max+,518,4.6,34,Vacuum mopping robot,9.65 cm,,240 min,67 dB,Independent emptying,Amazon Alexa,38732566,Roborock,Robot vacuum cleaners,Q8MP02-00,21.9.2023,97 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Independent emptying,5500 Pa,0.47 l,0.35 l,67 dB,"Carpet, Hard floor",20 mm,Preliminary filter,300 m²,Compatible,Amazon Alexa,Amazon Alexa,China,,Q8 Max+,240 min,360 min,Li-ion,5200 mAh,59 Wh,14.40 V,1000 W,"Charging station, Cleaning station, Manual, Mop attachment, Mop pad, Power cable, Power cord, Robots, Water reservoir",9.65 cm,,35.30 cm,35 cm,35 cm,3.60 kg,48.50 cm,38.50 cm,37 cm,12.40 kg,,,,,,,,,,,,,,,
Medion Saugroboter S35,129,5.0,1,Robot vacuum,7.40 cm,,120 min,72 dB,"Base station, Carpet detection, Obstacle detector",,52303356,Medion,Robot vacuum cleaners,50076260,19.10.2024,70 of 469,No,White,White,Robot vacuum,Vacuuming,"Base station, Carpet detection, Obstacle detector",4000 Pa,0.55 l,,72 dB,"Carpet, Hard floor",,Dust filters,,Compatible,,,,,MD 11899,120 min,300 min,Li-ion,,,,,"1x Charging station, 1x cleaning brush, 1x remote, 2x batteries (AAA), 4x side brush (2 x replacement side brushes), Robot vacuum cleaner (MD 11899)",7.40 cm,,32.50 cm,32.50 cm,32.50 cm,2.60 kg,46 cm,39 cm,13.70 cm,4.54 kg,,,,,,,,,,,,,,,
Ecovacs T30S Combo Complete,905,4.9,8,Robot vacuum,10.40 cm,44.50 cm,270 min,65 dB,Laser navigation,"Amazon Alexa, Google Assistant",46593512,Ecovacs,Robot vacuum cleaners,101994,18.6.2024,56 of 469,Yes,Black,Black,Robot vacuum,"Damp mopping, Vacuuming",Laser navigation,11000 Pa,0.28 l,0.06 l,65 dB,Carpet,20 mm,,,Compatible,"Amazon Alexa, Google Assistant",,China,,DDX14-2,270 min,300 min,Li-ion,5200 mAh,60 Wh,14.40 V,60 W,"1 COMBO station, 1 main brush, DEEBOT T30S COMBO COMPLETE",10.40 cm,44.50 cm,35.10 cm,3.53 cm,3.51 cm,4.10 kg,75 cm,49 cm,62 cm,26 kg,,,,,,,,,,,,,,,
Xiaomi Robot Vacuum E5,115,4.4,8,Robot vacuum,7 cm,7 cm,110 min,,Base station,"Amazon Alexa, Google Assistant, Google Home",44963404,Xiaomi,Robot vacuum cleaners,BHR8298EU,16.4.2024,52 of 471,No,Black,Black,Robot vacuum,Damp mopping,Base station,2000 Pa,0.40 l,0.09 l,,,20 mm,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant, Google Home",,China,,C108,110 min,,,2600 mAh,25 Wh,14.40 V,25 W,"Charging station, Cleaning brush x 1, Dust collector, Manual, Mop pad, Power supply, Robots, Side brush x 2, Water reservoir",7 cm,7 cm,30 cm,30 cm,30 cm,2.30 kg,40.10 cm,35.40 cm,18.10 cm,3.60 kg,,,,,,,,,,,,,,,
Xiaomi S20+,25295,4.8,8,Vacuum mopping robot,9.70 cm,97 cm,170 min,,Base station,"Amazon Alexa, Google Home",47735538,Xiaomi,Robot vacuum cleaners,BHR8159EU,10.8.2024,54 of 471,No,White,White,Vacuum mopping robot,Damp mopping,Base station,6000 Pa,0.45 l,0.29 l,,,,HEPA filter,,Compatible,"Amazon Alexa, Google Home","Amazon Alexa, Google Assistant",China,,BHR8159EU,170 min,210 min,,5200 mAh,55 Wh,14.40 V,55 W,"1 x power supply, 1x charging station, 1x dust container, 1x main brush, 1x main brush cover, 1x robot hoover, 1x side brush, 1x user manual, 1x water tank, 2x wiping pad",9.70 cm,97 cm,35 cm,35 cm,35 cm,3.80 kg,43.50 cm,15 cm,49.50 cm,6.69 kg,,,,,,,,,,,,,,,
TP-Link Tapo -RV30M,190,5.0,10,Vacuum mopping robot,8.30 cm,33 cm,,55 dB,Base station,Google Home,52553285,TP-Link,Robot vacuum cleaners,Tapo RV30 Max Plus,1.11.2024,66 of 471,No,Black,Black,Vacuum mopping robot,Damp mopping,Base station,5300 Pa,0.30 l,0.30 l,55 dB,Carpet,,HEPA filter,,Compatible,Google Home,,China,,,,,,2600 mAh,,,45 W,"Auto-Empty Dock ×1 (incl. 3L disposable dust bag ×1 and cleaning brush ×1), Mains cable ×1, Mop attachment ×1, Robot hoover ×1 (incl. HEPA filter ×1 and side brush ×1), User manual",8.30 cm,33 cm,33 cm,,33 cm,,,,,,,,,,,,,,,,,,,,
Roborock S7 MaxV Ultra,77275,4.8,418,Vacuum mopping robot,9.70 cm,,180 min,67 dB,"Base station, Camera function, Obstacle detector, Staircase safe",Google Assistant,20837313,Roborock,Robot vacuum cleaners,S7MU52-00,20.7.2022,92 of 471,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Camera function, Obstacle detector, Staircase safe",,0.40 l,0.20 l,67 dB,"Carpet, Hard floor, Tiles",20 mm,HEPA filter,300 m²,Compatible,Google Assistant,"Amazon Alexa, Google Assistant",,S7 Max Ultra,,180 min,240 min,Li-ion,5200 mAh,,,74 W,"Charging station, Dust filters, Robot vacuum, Wipes",9.70 cm,,35 cm,35.30 cm,35 cm,4.65 kg,52 cm,51 cm,45 cm,17.58 kg,,,,,,,,,,,,,,,
Kärcher RCV 3,250,4.5,41,Vacuum mopping robot,9.40 cm,10.20 cm,120 min,67 dB,,,25366248,Kärcher,Robot vacuum cleaners,1.269-620.0,5.5.2023,55 of 471,No,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",,2500 Pa,0.50 l,0.17 l,67 dB,Universal,,Preliminary filter,85 m²,Compatible,,,,,,120 min,230 min,Li-ion,3200 mAh,,,,Charging station,9.40 cm,10.20 cm,35 cm,35 cm,35 cm,3.70 kg,47 cm,38 cm,14 cm,6.73 kg,,,,SBTi,,,,,,,,,,,
Ecovacs DEEBOT N20 PLUS Robot Vacuum Cleaner 0 4 l Bagless White,278,4.0,4,Vacuum mopping robot,9.60 cm,,300 min,65 dB,Automatic dust emptying,"Amazon Alexa, Google Assistant",47411973,Ecovacs,Robot vacuum cleaners,DEEBOT N20 Plus,25.7.2024,53 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Automatic dust emptying,8000 Pa,0.40 l,0.22 l,65 dB,Universal,20 mm,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",,China,,DEEBOT N20+,300 min,330 min,Li-ion,5200 mAh,,14.80 V,45 W,1 piece,9.60 cm,,,9.60 cm,35.10 cm,3.70 kg,41.50 cm,35.50 cm,43.50 cm,10.34 kg,,,,,,,,,,,,,,,
iRobot Roomba Combo j7 (c7158),399,4.1,27,Vacuum mopping robot,8.70 cm,,75 min,68 dB,"Base station, Camera function, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App",22503265,iRobot,Robot vacuum cleaners,c715840,18.10.2022,93 of 471,No,"Black, Silver","Black, Silver",Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Camera function, Laser navigation, Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,1.70 l,0.21 l,68 dB,"Carpet, Hard floor, Laminate, Parquet flooring, Stone, Tiles, Tiles",16 mm,HEPA filter,90 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant, IFTTT, Swisscom HOME App","Amazon Alexa, Apple Siri, Google Assistant",,Roomba Combo j7,Roomba Combo j7,75 min,180 min,Li-ion,4460 mAh,,14.40 V,,"1 corner and edge cleaning brush, 1 microfibre cleaning cloth, 2 anti-allergen dust bags, Charging station, Power cord, Replacement filter",8.70 cm,,33.30 cm,33.30 cm,33.30 cm,3.40 kg,48 cm,44 cm,14 cm,6.28 kg,,,Https://prod-help-content.care.irobotapi.com/files/j_series/og/J7ComboOwnersGuideEMEA.pdf.,,,,,,,,,,,,
Miele Scout RX3 Home Vision HD - SPQL,668,4.3,7,Robot vacuum,8.50 cm,8.50 cm,170 min,71 dB,"Camera function, Carpet detection, Programmable cleaning schedules, Programmable room boundary",Apple Siri,16755511,Miele,Robot vacuum cleaners,11713550,5.10.2021,148 of 471,No,Gold,Rose gold PearlFinish,Robot vacuum,Vacuuming,"Camera function, Carpet detection, Programmable cleaning schedules, Programmable room boundary",,0.40 l,0.40 l,71 dB,"Carpet, Hard floor, Laminate, Linoleum, Parquet flooring, Tiles",17 mm,Strainer,70 m²,Compatible,Apple Siri,Miele@home,,,11713550,170 min,240 min,Li-ion,5200 mAh,,230 V,,1 piece,8.50 cm,8.50 cm,35.40 cm,35.40 cm,35.40 cm,3.20 kg,54.50 cm,38.60 cm,14 cm,5.47 kg,,,,SBTi,,,,,,,,,,,
Roborock S8+,796,4.5,70,Vacuum mopping robot,9.50 cm,44.80 cm,180 min,67 dB,"Camera function, Carpet detection, Obstacle detector, Staircase safe","Amazon Alexa, Apple Siri, Google Assistant",32993316,Roborock,Robot vacuum cleaners,6970995786545,11.5.2023,96 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Camera function, Carpet detection, Obstacle detector, Staircase safe",6000 Pa,0.40 l,0.30 l,67 dB,"Carpet, Hard floor",,HEPA filter,300 m²,Compatible,"Amazon Alexa, Apple Siri, Google Assistant",Google Assistant,China,S8,S8+,180 min,360 min,Li-ion,5200 mAh,,,69 W,"Charging station, Dust filters, Mop top, Power cord, Robot vacuum, Short manual, Suction station, Wiping module",9.50 cm,44.80 cm,35 cm,35.30 cm,35 cm,9.20 kg,49 cm,38 cm,37.50 cm,13.38 kg,,,,,,,,,,,,,,,
Xiaomi X10,239,4.5,20,Vacuum mopping robot,9.88 cm,9.88 cm,180 min,50 dB,Programmable room boundary,"Amazon Alexa, Google Assistant",30139134,Xiaomi,Robot vacuum cleaners,BHR6068EU,22.5.2023,64 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Programmable room boundary,4000 Pa,0.40 l,0.20 l,50 dB,"Carpet, Hard floor, Parquet flooring",19 mm,Dust filters,100 m²,Compatible,"Amazon Alexa, Google Assistant",Amazon Alexa,China,,X10,180 min,360 min,Lithium,5200 mAh,46 Wh,14.40 V,1000 W,Charging station,9.88 cm,9.88 cm,35 cm,35 cm,35.30 cm,3.30 kg,46.60 cm,41.20 cm,37.60 cm,10.47 kg,,,,,,,,,,,,,,,
Ecovacs T30 Pro,563,4.3,15,Robot vacuum,10.40 cm,49 cm,290 min,65 dB,"Automatic power adjustment, Carpet detection","Amazon Alexa, Google Assistant",44164425,Ecovacs,Robot vacuum cleaners,DDX14,4.4.2024,43 of 471,Yes,Silver,White|Silver,Robot vacuum,"Damp mopping, Vacuuming","Automatic power adjustment, Carpet detection",11000 Pa,0.30 l,0.06 l,65 dB,"Carpet, Laminate, Parquet flooring, Tiles",20 mm,Dust filters,293 m²,Compatible,"Amazon Alexa, Google Assistant",,China,,T30 Pro OMNI,290 min,270 min,Li-ion,5200 mAh,60 Wh,14.40 V,60 W,"1x Charging station, 1x high-performance filter, 1x pair of wiper plates, 1x pair of wipes, 1x robot, 1x side brushes, 1x user manual",10.40 cm,49 cm,,35.10 cm,35.10 cm,4.10 kg,76 cm,47 cm,44 cm,18.66 kg,,,,,,,,,,,,,,,
